"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","12 pF","","","","Library:SMD_603","https://yageogroup.com/content/datasheet/asset/file/UPY-GPHC_X7R_6_3V-TO-250V"
"C3","1","100 nf","","","","Library:SMD_603","https://yageogroup.com/content/datasheet/asset/file/UPY-GPHC_X7R_6_3V-TO-250V"
"C4,C7","2","100nF","","","","Library:SMD_603","https://yageogroup.com/content/datasheet/asset/file/UPY-GPHC_X7R_6_3V-TO-250V"
"C6","1","1uF","","","","Library:SMD_603","https://yageogroup.com/content/datasheet/asset/file/UPY-GPHC_X7R_6_3V-TO-250V"
"D1","1","GREEN","","","","Library:SMD_603","https://cdn-reichelt.de/documents/datenblatt/A500/KP-1608ID(VER.9A).pdf"
"D2","1","RED","","","","Library:SMD_603","https://cdn-reichelt.de/documents/datenblatt/A500/KP-1608ID(VER.9A).pdf"
"J1","1","~","","","","Library:J1_connector","https://suddendocs.samtec.com/catalog_english/tsw_th.pdf"
"J2","1","~","","","","Library:J2_connector","https://suddendocs.samtec.com/catalog_english/tsw_th.pdf"
"J3","1","FTDI","","","","Library:FDTI_conector_TSW-106-08-L-S-RA","https://suddendocs.samtec.com/catalog_english/tsw_th.pdf"
"R1","1","330","","","","Library:SMD_603","https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L"
"R2,R3","2","10K","","","","Library:SMD_603","https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L"
"SW1","1","SW_Push","","","","Library:interupter_SMD_B3U-1000P(M)","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3u.pdf"
"U1","1","ATmega328P-A","","","","Library:atMega328P","https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/material-compliance-documents/32L_TQFP_7x7x1_0mm_PT_C04-00074c.pdf"
"Y1","1","16 Mhz","","","","Library:Oscillator_SMD3225-4P_X322516MLB4SI","https://www.lcsc.com/datasheet/C13738.pdf?spm=wm.sxq.inf.ggs&utm_source=octopart&lcsc_vid=EwNaU1dfFFdXVVJQFQVaBAdRRFJfVQZTTlBZUVJfQFUxVlNRT1dbUFZSRlVYVjsOAxUeFF5JWA4NEwsWFhMaSQcJGk4%3D"
